[4, 9, 12, 8, 5, 6, 8, 17, 18, 12]
[4, 9, 12, 8, 5, 6, 8, 17, 18, 12]
[4, 9, 12, 8, 5, 6, 8, 17, 18, 12]
[4, 9, 12, 8, 5, 6, 8, 17, 18, 12]
[4, 9, 12, 8, 5, 6, 8, 17, 18, 12]
[4, 9, 12, 8, 5, 6, 8, 17, 18, 12]
[4, 9, 12, 8, 5, 6, 8, 17, 18, 12]
[4, 9, 12, 8, 5, 6, 8, 17, 18, 12]
[4, 9, 12, 8, 5, 6, 8, 17, 18, 12]
[4, 9, 12, 8, 5, 6, 8, 17, 18, 12]

[-2, -5, -6, 0, 5, 6, 6, -1, 0, 8]
[-2, -5, -6, 0, 5, 6, 6, -1, 0, 8]
[-2, -5, -6, 0, 5, 6, 6, -1, 0, 8]
[-2, -5, -6, 0, 5, 6, 6, -1, 0, 8]
[-2, -5, -6, 0, 5, 6, 6, -1, 0, 8]
[-2, -5, -6, 0, 5, 6, 6, -1, 0, 8]
[-2, -5, -6, 0, 5, 6, 6, -1, 0, 8]
[-2, -5, -6, 0, 5, 6, 6, -1, 0, 8]
[-2, -5, -6, 0, 5, 6, 6, -1, 0, 8]
[-2, -5, -6, 0, 5, 6, 6, -1, 0, 8]
